discussions_count,comments_count,movie_count,screenshot_count,awards_count,link_count,file_size_mb,change_notes,certified_compatible,creator_count,featured_collection_count,visitors_count,favorites_count,accepted,posted_time,updated_time,passed_time,media_count,class_count,item_slot_count,submitted_by_submitter,class_scout,class_soldier,class_pyro,class_demoman,class_heavy,class_engineer,class_medic,class_sniper,class_spy,item_slot_headgear,item_slot_misc,item_slot_taunt,item_slot_weapon,v1,v2,v3,v4,v5
0,677,0,5,0,0,5.13,3,1,2,126,22671,1493,1,2012,2013,0,5,1,1,172,0,0,0,0,1,0,0,0,0,0,1,0,0,0.08439383791024782,677.0,22671.0,33.43805309734513,0.8333333333333334
0,4,0,5,0,0,5.816,2,1,3,81,2660,188,1,2017,2017,0,5,1,1,57,1,0,0,0,0,0,0,0,0,0,1,0,0,0.4308510638297872,4.0,2660.0,532.0,0.8333333333333334
9,33,0,5,2,0,6.417,3,1,3,280,15138,899,1,2017,2018,1,5,1,1,57,1,0,0,0,0,0,0,0,0,0,1,0,0,0.3114571746384872,3.3,1513.8,445.2352941176471,0.8333333333333334
2,17,0,5,0,0,5.584,3,1,3,92,6866,311,1,2017,2018,1,5,1,1,57,1,0,0,0,0,0,0,0,0,0,1,0,0,0.2958199356913183,5.666666666666667,2288.6666666666665,381.44444444444446,0.8333333333333334
1,20,0,0,0,0,0.182,1,0,3,59,3193,100,1,2012,2012,0,0,1,1,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0.59,10.0,1596.5,152.04761904761904,0.0
1,26,0,0,2,0,0.233,1,0,3,112,3507,188,1,2012,2012,0,0,2,1,10,0,0,0,1,1,0,0,0,0,1,0,0,0,0.5957446808510638,13.0,1753.5,129.88888888888889,0.0
0,16,0,0,1,0,0.147,1,0,3,59,2181,82,1,2012,2012,0,0,1,1,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0.7195121951219512,16.0,2181.0,128.2941176470588,0.0
1,25,0,0,0,0,0.131,1,0,3,128,3965,220,1,2012,2012,0,0,1,1,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0.5818181818181818,12.5,1982.5,152.5,0.0
0,39,0,0,6,0,0.134,1,0,3,308,7411,410,1,2012,2012,0,0,1,1,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0.751219512195122,39.0,7411.0,185.275,0.0
0,56,0,0,0,0,0.213,1,0,3,302,10215,284,1,2012,2012,0,0,7,1,10,1,1,1,1,1,0,1,1,0,0,0,0,1,1.0633802816901408,56.0,10215.0,179.21052631578948,0.0
0,21,0,0,1,0,0.257,1,0,3,245,6451,277,1,2012,2012,0,0,2,1,10,0,1,0,1,0,0,0,0,0,0,1,0,0,0.8844765342960289,21.0,6451.0,293.22727272727275,0.0
0,0,0,0,0,0,7.792,1,1,4,1,65,2,1,2017,2017,0,0,9,1,43,1,1,1,1,1,1,1,1,1,0,1,0,0,0.5,0.0,65.0,65.0,0.0
0,0,0,0,0,0,7.793,1,1,4,0,49,2,1,2017,2017,0,0,9,1,43,1,1,1,1,1,1,1,1,1,0,1,0,0,0.0,0.0,49.0,49.0,0.0
0,0,0,0,0,0,7.793,1,1,4,1,49,2,1,2017,2017,0,0,9,1,43,1,1,1,1,1,1,1,1,1,0,1,0,0,0.5,0.0,49.0,49.0,0.0
0,0,0,0,0,0,7.791,1,1,4,0,78,2,1,2017,2017,0,0,9,1,43,1,1,1,1,1,1,1,1,1,0,1,0,0,0.0,0.0,78.0,78.0,0.0
1,180,0,6,1,0,3.781,2,0,1,96,9121,546,1,2012,2012,0,6,9,1,52,1,1,1,1,1,1,1,1,1,0,1,0,0,0.17582417582417584,90.0,4560.5,50.392265193370164,0.8571428571428571
1,237,0,1,0,0,3.071,2,1,1,25,7594,499,1,2012,2016,3,1,7,1,117,1,1,0,1,1,1,1,1,0,0,1,0,0,0.050100200400801605,118.5,3797.0,31.907563025210084,0.5
0,56,0,9,0,0,1.742,4,0,1,13,3399,186,1,2012,2012,0,9,1,1,54,0,1,0,0,0,0,0,0,0,1,0,0,0,0.06989247311827956,56.0,3399.0,59.63157894736842,0.9
0,662,0,5,0,0,2.017,3,0,3,75,24226,1401,1,2012,2012,0,5,1,1,52,0,0,1,0,0,0,0,0,0,0,1,0,0,0.05353319057815846,662.0,24226.0,36.53996983408748,0.8333333333333334
0,10,0,0,0,1,4.877,2,1,5,22,4032,40,1,2017,2017,0,0,9,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0.55,10.0,4032.0,366.54545454545456,0.0
