discussions_count,comments_count,movie_count,screenshot_count,awards_count,link_count,file_size_mb,change_notes,certified_compatible,creator_count,featured_collection_count,visitors_count,favorites_count,accepted,posted_time,updated_time,passed_time,media_count,class_count,item_slot_count,submitted_by_submitter,class_scout,class_soldier,class_pyro,class_demoman,class_heavy,class_engineer,class_medic,class_sniper,class_spy,item_slot_headgear,item_slot_misc,item_slot_taunt,item_slot_weapon
0,0,0,0,0,0,7.792,1,1,4,1,65,2,1,1502404740.0,1502404740.0,0.0,0,9,1,43,1,1,1,1,1,1,1,1,1,0,1,0,0
0,0,0,0,0,0,7.793,1,1,4,0,49,2,1,1502405100.0,1502405100.0,0.0,0,9,1,43,1,1,1,1,1,1,1,1,1,0,1,0,0
0,0,0,0,0,0,7.793,1,1,4,1,49,2,1,1502405340.0,1502405340.0,0.0,0,9,1,43,1,1,1,1,1,1,1,1,1,0,1,0,0
0,0,0,0,0,0,7.791,1,1,4,0,78,2,1,1502463900.0,1502463900.0,0.0,0,9,1,43,1,1,1,1,1,1,1,1,1,0,1,0,0
1,180,0,6,1,0,3.781,2,0,1,96,9121,546,1,1354372860.0,1355509560.0,1136700.0,6,9,1,52,1,1,1,1,1,1,1,1,1,0,1,0,0
1,237,0,1,0,0,3.071,2,1,1,25,7594,499,1,1354463940.0,1454924160.0,100460220.0,1,7,1,117,1,1,0,1,1,1,1,1,0,0,1,0,0
0,56,0,9,0,0,1.742,4,0,1,13,3399,186,1,1354487640.0,1355226120.0,738480.0,9,1,1,54,0,1,0,0,0,0,0,0,0,1,0,0,0
0,662,0,5,0,0,2.017,3,0,3,75,24226,1401,1,1354522380.0,1354855200.0,332820.0,5,1,1,52,0,0,1,0,0,0,0,0,0,0,1,0,0
0,10,0,0,0,1,4.877,2,1,5,22,4032,40,1,1503074640.0,1508096040.0,5021400.0,0,9,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
0,14,0,0,0,0,0.024,1,0,1,11,1205,25,1,1354600020.0,1354600020.0,0.0,0,1,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0
